Posicao,Quartos,Vagas,DistIpanema,DistPraia,DistFavela,RendaMedia,RendaMovel,RendaMovelRua,Vu2009,Mes,Idade,Tipologia,AreaConstruida,VAL_UNIT,X,Y,lat,lng
0,2.0,0.01,1191,564,125,2068724,2135043,2101884,2450,445,40.0,1,67,4925,685122.0745,7457874.874,-22.977103581632733,-43.19411913575138
0,2.0,0.01,2536,817,156,1165764,881744,1023754,2150,360,40.0,1,81,2593,685652.67,7459165.23,-22.96539389229475,-43.189100383942005
1,2.0,0.01,2536,817,156,1165764,881744,1023754,2150,573,40.0,1,81,5802,685652.67,7459165.23,-22.96539389229475,-43.189100383942005
1,3.0,1.0,2878,499,494,1915512,2491195,2203354,2450,918,40.0,1,105,12286,686349.92,7459289.19,-22.96419673895087,-43.18231684509087
1,3.0,1.0,2245,106,648,1447740,1774652,1611196,2700,405,39.0,1,141,3511,686168.26,7458673.19,-22.96977888528235,-43.18401378868064
1,2.0,0.01,2599,290,500,1124331,1121058,1122695,2100,930,42.0,1,86,12209,686297.21,7459004.1,-22.966776694068518,-43.18279637567145
1,1.0,0.01,1861,384,507,1124331,894204,1009268,2200,445,39.0,1,37,8243,685619.1216,7458478.824,-22.97159515778584,-43.18934493451459
1,3.0,1.0,2573,1114,132,1395924,1357160,1376542,1550,360,38.0,1,85,4529,685314.86,7459250.55,-22.96466119144575,-43.19240443934882
0,2.0,0.01,2573,1114,132,1395924,1357160,1376542,1550,842,41.0,1,58,10862,685314.86,7459250.55,-22.96466119144575,-43.19240443934882
0,2.0,0.01,1202,527,142,2068724,2078822,2073773,2450,830,42.0,1,74,7703,685164.25,7457885.39,-22.97700393844142,-43.19370913043284
1,3.0,0.01,1202,527,142,2068724,2078822,2073773,2450,864,42.0,1,97,9845,685164.25,7457885.39,-22.97700393844142,-43.19370913043284
1,2.0,0.01,2351,378,389,1246831,980519,1113675,2350,930,42.0,1,69,11594,685982.9201,7458873.22,-22.967993556182204,-43.18584510282594
0,3.0,0.01,3154,211,560,1007098,932395,969747,2300,825,42.0,1,95,8421,686911.4001,7459284.16,-22.964179190510038,-43.17684161625697
1,3.0,0.01,2166,584,401,1472861,2177996,1825429,2300,830,42.0,1,116,8362,685615.69,7458794.46,-22.968745680560094,-43.18941636397809
1,2.0,1.0,3149,199,559,1007098,932395,969747,2300,425,39.0,1,78,4487,686917.29,7459274.18,-22.964268637321357,-43.176782979317615
1,2.0,0.01,2632,1193,81,1395924,1609597,1502761,1550,920,43.0,1,60,11250,685263.78,7459312.65,-22.964106179378337,-43.19290994547743
1,3.0,1.0,490,134,686,1083455,1113036,1098246,2200,445,39.0,1,155,4839,685573.7201,7456885.62,-22.98598516060958,-43.189595943775714
1,2.0,0.01,2420,428,325,1502287,1195430,1348859,2350,445,39.0,1,70,6071,685990.27,7458944.79,-22.967346534175096,-43.18578206195569
0,2.0,0.01,2420,428,325,1502287,1195430,1348859,2350,864,42.0,1,58,7759,685990.27,7458944.79,-22.967346534175096,-43.18578206195569
0,2.0,0.01,3485,246,208,807780,657054,732417,2200,385,39.0,1,66,3561,687218.78,7459470.93,-22.9624583179347,-43.173867218038616
1,3.0,1.0,2221,283,519,1165764,954678,1060221,2200,385,39.0,1,182,2940,685975.46,7458736.26,-22.969230992128647,-43.185901338066614
1,3.0,1.0,2983,245,772,1081057,1328737,1204897,2100,385,39.0,1,97,4948,686711.77,7459211.29,-22.96485953439155,-43.17877926073032
1,3.0,0.01,2983,245,772,1081057,1328737,1204897,2100,930,42.0,1,100,9400,686711.77,7459211.29,-22.96485953439155,-43.17877926073032
1,2.0,0.01,2983,245,772,1081057,1328737,1204897,2100,930,42.0,1,100,7900,686711.77,7459211.29,-22.96485953439155,-43.17877926073032
1,3.0,0.01,3329,107,318,948250,1030600,989425,2100,385,71.0,1,90,3889,687185.93,7459300.47,-22.9640010749502,-43.17416684140872
1,1.0,0.01,1248,32,303,1524600,1127711,1326156,4100,525,56.0,1,49,8939,685660.8,7457812.19,-22.977609503912568,-43.1888583022732
1,1.0,0.01,2165,167,627,1165764,1385819,1275792,2350,920,63.0,1,31,12258,686046.38,7458643.61,-22.970059593632747,-43.185198645695245
1,1.0,0.01,555,156,425,1570125,1665132,1617629,2500,862,61.0,1,29,14483,685456.85,7457130.39,-22.983788189111447,-43.19076509893915
1,0.01,0.01,555,156,425,1570125,1665132,1617629,2500,918,61.0,1,29,15172,685456.85,7457130.39,-22.983788189111447,-43.19076509893915
1,0.01,0.01,555,156,425,1570125,1665132,1617629,2500,385,58.0,1,25,5600,685456.85,7457130.39,-22.983788189111447,-43.19076509893915
1,0.01,0.01,555,156,425,1570125,1665132,1617629,2500,484,58.0,1,31,5806,685456.85,7457130.39,-22.983788189111447,-43.19076509893915
0,0.01,0.01,555,156,425,1570125,1665132,1617629,2500,484,58.0,1,28,4286,685456.85,7457130.39,-22.983788189111447,-43.19076509893915
1,0.01,0.01,555,156,425,1570125,1665132,1617629,2500,830,61.0,1,31,10323,685456.85,7457130.39,-22.983788189111447,-43.19076509893915
0,0.01,0.01,555,156,425,1570125,1665132,1617629,2500,920,61.0,1,28,18750,685456.85,7457130.39,-22.983788189111447,-43.19076509893915
1,0.01,0.01,1235,38,289,1189386,1117401,1153394,2800,792,58.0,1,24,14583,685652.2801,7457801.2,-22.97770968293067,-43.1889400599963
1,3.0,1.0,2951,244,808,1171749,942179,1056964,2300,385,57.0,1,76,5132,686680.57,7459193.27,-22.96502573523519,-43.179081293229935
0,3.0,0.01,2951,244,808,1171749,942179,1056964,2300,573,57.0,1,74,5405,686680.57,7459193.27,-22.96502573523519,-43.179081293229935
1,2.0,0.01,3057,313,735,1124331,903645,1013988,1950,405,57.0,1,54,3704,686720.34,7459293.32,-22.96411793241281,-43.17870562297905
0,1.0,0.01,3057,313,735,1124331,903645,1013988,1950,842,60.0,1,88,7557,686720.34,7459293.32,-22.96411793241281,-43.17870562297905
1,1.0,0.01,1179,441,143,2068724,1939570,2004147,2450,385,57.0,1,45,5667,685245.47,7457856.97,-22.9772514975562,-43.19291371413582
1,1.0,0.01,1179,441,143,2068724,1939570,2004147,2450,930,60.0,1,45,14778,685245.47,7457856.97,-22.9772514975562,-43.19291371413582
1,2.0,1.0,2551,1014,199,1783469,1766122,1774796,2300,509,57.0,1,58,6207,685422.0216,7459217.417,-22.96494841222511,-43.19135558656184
0,0.01,0.01,668,241,229,1308645,1229642,1269144,2100,360,58.0,1,22,7273,685349.11,7457313.69,-22.98214519750577,-43.19183779218008
0,0.01,1.0,668,241,229,1308645,1229642,1269144,2100,573,58.0,1,23,10870,685349.11,7457313.69,-22.98214519750577,-43.19183779218008
1,3.0,0.01,1885,81,799,1447740,1626893,1537317,2700,862,60.0,1,142,7042,685930.604,7458388.603999998,-22.97237496642861,-43.18629682472413
1,3.0,0.01,2951,244,808,1171749,942179,1056964,2300,405,57.0,1,76,4934,686680.57,7459193.27,-22.96502573523519,-43.179081293229935
0,2.0,1.0,1601,658,61,999741,999741,999741,1850,509,57.0,1,85,4118,685185.33,7458283.6,-22.9734061694358,-43.193551375895616
1,0.01,0.01,1679,440,325,1124331,1102941,1113636,2200,567,60.0,1,34,5294,685459.12,7458329.39,-22.972962233534318,-43.19088713585968
0,1.0,0.01,1679,440,325,1124331,1102941,1113636,2200,567,60.0,1,29,8621,685459.12,7458329.39,-22.972962233534318,-43.19088713585968
0,1.0,0.01,1679,440,325,1124331,1102941,1113636,2200,405,60.0,1,30,5833,685459.12,7458329.39,-22.972962233534318,-43.19088713585968
0,0.01,0.01,1679,440,325,1124331,1102941,1113636,2200,904,63.0,1,29,16466,685459.12,7458329.39,-22.972962233534318,-43.19088713585968
1,1.0,0.01,2307,99,647,986211,925313,955762,2500,904,60.0,1,30,15333,686228.05,7458711.13,-22.96942963719781,-43.183435369425055
0,1.0,0.01,2307,99,647,986211,925313,955762,2500,904,60.0,1,30,13167,686228.05,7458711.13,-22.96942963719781,-43.183435369425055
1,0.01,0.01,2307,99,647,986211,925313,955762,2500,930,60.0,1,40,15250,686228.05,7458711.13,-22.96942963719781,-43.183435369425055
0,3.0,1.0,2192,385,486,1156319,889302,1022811,2600,792,59.0,1,123,6585,685848.27,7458753.5,-22.969089544652945,-43.18714361068674
1,3.0,1.0,2192,385,486,1156319,889302,1022811,2600,792,59.0,1,73,16096,685848.27,7458753.5,-22.969089544652945,-43.18714361068674
1,2.0,0.01,3259,253,467,1081057,1106050,1093554,2100,509,57.0,1,60,4833,686978.9,7459366.18,-22.96343105914451,-43.176193405771464
0,1.0,0.01,3259,253,467,1081057,1106050,1093554,2100,573,57.0,1,60,3667,686978.9,7459366.18,-22.96343105914451,-43.176193405771464
1,4.0,0.01,1582,72,606,1203742,742088,972915,2900,573,57.0,1,177,6780,685768.5229,7458130.424,-22.974724162997397,-43.187846183879756
1,2.0,0.01,2681,276,567,1582780,1006993,1294887,2450,830,60.0,1,70,9571,686390.4,7459049.15,-22.966359506175127,-43.181893163647814
0,1.0,0.01,3169,200,536,1007098,983728,995413,2300,595,57.0,1,35,6286,686936.91,7459285.16,-22.96416729645891,-43.17659300763551
0,2.0,0.01,3123,587,504,1573665,1451425,1512545,2600,930,58.0,1,54,10787,686502.4,7459487.24,-22.962391483188416,-43.18085404010797
1,2.0,0.01,3123,587,504,1573665,1451425,1512545,2600,920,58.0,1,54,12407,686502.4,7459487.24,-22.962391483188416,-43.18085404010797
1,1.0,0.01,3123,587,504,1573665,1451425,1512545,2600,930,58.0,1,45,16000,686502.4,7459487.24,-22.962391483188416,-43.18085404010797
1,1.0,0.01,668,241,229,1308645,1229642,1269144,2100,554,58.0,1,24,9500,685349.11,7457313.69,-22.98214519750577,-43.19183779218008
0,0.01,0.01,668,241,229,1308645,1229642,1269144,2100,920,61.0,1,23,8696,685349.11,7457313.69,-22.98214519750577,-43.19183779218008
0,3.0,0.01,3392,286,343,948250,1077311,1012781,1850,573,57.0,1,106,5189,687084.55,7459453.69,-22.962629069151543,-43.17517389628998
1,0.01,0.01,3355,160,305,948250,661047,804649,1850,405,57.0,1,28,3929,687164.93,7459349.56,-22.963560209186774,-43.17437754983983
1,1.0,0.01,3355,160,305,948250,661047,804649,1850,800,59.0,1,28,14286,687164.93,7459349.56,-22.963560209186774,-43.17437754983983
1,0.01,0.01,3355,160,305,948250,661047,804649,1850,825,60.0,1,28,14286,687164.93,7459349.56,-22.963560209186774,-43.17437754983983
1,0.01,0.01,3355,160,305,948250,661047,804649,1850,930,60.0,1,28,8929,687164.93,7459349.56,-22.963560209186774,-43.17437754983983
1,1.0,0.01,2274,350,447,1124331,759714,942023,2100,567,55.0,1,31,6935,685949.37,7458804.21,-22.96862039224002,-43.186163922627976
1,0.01,0.01,2274,350,447,1124331,759714,942023,2100,830,58.0,1,31,14839,685949.37,7458804.21,-22.96862039224002,-43.186163922627976
1,1.0,0.01,2274,350,447,1124331,759714,942023,2100,445,55.0,1,31,7097,685949.37,7458804.21,-22.96862039224002,-43.186163922627976
1,1.0,0.01,598,194,339,1308645,1326817,1317731,2100,825,59.0,1,38,11053,685402.5201,7457214.39,-22.983035817138727,-43.19130501392204
1,1.0,0.01,598,194,339,1308645,1326817,1317731,2100,484,56.0,1,38,6842,685402.5201,7457214.39,-22.983035817138727,-43.19130501392204
1,3.0,0.01,3344,383,481,1031529,1093527,1062528,2300,830,60.0,1,112,6786,686941.3690000001,7459492.774,-22.962292271987337,-43.17657467358332
1,3.0,1.0,3344,383,481,1031529,1093527,1062528,2300,801,59.0,1,120,5958,686941.3690000001,7459492.774,-22.962292271987337,-43.17657467358332
0,1.0,0.01,1656,431,323,1124331,1281381,1202856,2200,830,59.0,1,37,13514,685456.25,7458306.42,-22.973169948446827,-43.19091236015029
0,1.0,0.01,1656,431,323,1124331,1281381,1202856,2200,930,59.0,1,37,13514,685456.25,7458306.42,-22.973169948446827,-43.19091236015029
0,3.0,0.01,3124,233,606,1081057,969032,1025045,2100,830,60.0,1,90,10389,686861.23,7459282.63,-22.964198638463696,-43.177330605762364
0,3.0,0.01,2358,843,172,1395924,1147536,1271730,1550,825,60.0,1,108,7269,685468.3601,7459016.95,-22.96675325677923,-43.190879675670175
1,1.0,0.01,3237,116,421,1083455,1035082,1059269,2000,405,55.0,1,50,6000,687082.3,7459264.32,-22.96433912126329,-43.175172883412905
1,1.0,0.01,3237,116,421,1083455,1035082,1059269,2000,525,55.0,1,50,6200,687082.3,7459264.32,-22.96433912126329,-43.175172883412905
1,1.0,0.01,3237,116,421,1083455,1035082,1059269,2000,918,58.0,1,40,11375,687082.3,7459264.32,-22.96433912126329,-43.175172883412905
1,2.0,0.01,3237,116,421,1083455,1035082,1059269,2000,904,58.0,1,50,13100,687082.3,7459264.32,-22.96433912126329,-43.175172883412905
0,2.0,0.01,2595,115,696,1582780,1762384,1672582,2700,567,55.0,1,91,5495,686467.11,7458906.14,-22.96764213642342,-43.18112792387404
1,2.0,1.0,2595,115,696,1582780,1762384,1672582,2700,801,57.0,1,88,11932,686467.11,7458906.14,-22.96764213642342,-43.18112792387404
1,1.0,0.01,2310,452,371,1165764,1129574,1147669,2200,918,60.0,1,34,13235,685871.6,7458870.92,-22.968026761183772,-43.18693026893125
1,1.0,0.01,2310,452,371,1165764,1129574,1147669,2200,573,57.0,1,44,6091,685871.6,7458870.92,-22.968026761183772,-43.18693026893125
1,0.01,0.01,2310,452,371,1165764,1129574,1147669,2200,825,60.0,1,38,11000,685871.6,7458870.92,-22.968026761183772,-43.18693026893125
1,0.01,0.01,2310,452,371,1165764,1129574,1147669,2200,792,59.0,1,38,11842,685871.6,7458870.92,-22.968026761183772,-43.18693026893125
1,0.01,0.01,2310,452,371,1165764,1129574,1147669,2200,573,57.0,1,38,5263,685871.6,7458870.92,-22.968026761183772,-43.18693026893125
1,0.01,0.01,2310,452,371,1165764,1129574,1147669,2200,930,60.0,1,38,11316,685871.6,7458870.92,-22.968026761183772,-43.18693026893125
1,1.0,1.0,2310,452,371,1165764,1129574,1147669,2200,509,57.0,1,38,8947,685871.6,7458870.92,-22.968026761183772,-43.18693026893125
1,0.01,0.01,2310,452,371,1165764,1129574,1147669,2200,862,60.0,1,38,15789,685871.6,7458870.92,-22.968026761183772,-43.18693026893125
1,2.0,0.01,3258,338,534,1124331,1294715,1209523,1950,509,58.0,1,102,3676,686896.82,7459419.65,-22.962957503591515,-43.17700018155202
1,3.0,1.0,3258,338,534,1124331,1294715,1209523,1950,445,58.0,1,155,4839,686896.82,7459419.65,-22.962957503591515,-43.17700018155202
1,2.0,0.01,2492,791,189,1165764,947926,1056845,2150,484,57.0,1,58,7759,685643.57,7459121.87,-22.965786402668165,-43.189183898005744
1,2.0,0.01,2492,791,189,1165764,947926,1056845,2150,484,57.0,1,70,5143,685643.57,7459121.87,-22.965786402668165,-43.189183898005744
0,2.0,0.01,2504,822,195,1165764,988550,1077157,2150,405,57.0,1,85,4059,685617.47,7459139.01,-22.965634557788878,-43.18944044748946
1,2.0,0.01,2504,822,195,1165764,988550,1077157,2150,864,60.0,1,62,9839,685617.47,7459139.01,-22.965634557788878,-43.18944044748946
1,2.0,0.01,2504,822,195,1165764,988550,1077157,2150,385,57.0,1,62,4839,685617.47,7459139.01,-22.965634557788878,-43.18944044748946
1,2.0,0.01,2504,822,195,1165764,988550,1077157,2150,918,60.0,1,61,10082,685617.47,7459139.01,-22.965634557788878,-43.18944044748946
1,4.0,1.0,2254,393,437,1165764,1174193,1169979,2200,484,57.0,1,259,3282,685888.35,7458805.17,-22.968618542485288,-43.18675902556984
1,2.0,0.01,368,363,431,1532655,1683103,1607879,2600,445,55.0,1,60,7250,685270.61,7457022.64,-22.984781820251694,-43.192568328576826
1,2.0,0.01,368,363,431,1532655,1683103,1607879,2600,862,58.0,1,60,14583,685270.61,7457022.64,-22.984781820251694,-43.192568328576826
1,2.0,1.0,368,363,431,1532655,1683103,1607879,2600,801,57.0,1,60,15667,685270.61,7457022.64,-22.984781820251694,-43.192568328576826
1,2.0,1.0,368,363,431,1532655,1683103,1607879,2600,484,55.0,1,60,8333,685270.61,7457022.64,-22.984781820251694,-43.192568328576826
1,2.0,1.0,368,363,431,1532655,1683103,1607879,2600,360,55.0,1,60,6833,685270.61,7457022.64,-22.984781820251694,-43.192568328576826
1,0.01,0.01,1550,230,496,1203742,1130145,1166944,2600,509,46.0,1,36,3889,685603.62,7458159.15,-22.974483205270104,-43.18945763181177
0,0.01,0.01,1550,230,496,1203742,1130145,1166944,2600,573,46.0,1,36,8056,685603.62,7458159.15,-22.974483205270104,-43.18945763181177
0,1.0,0.01,1550,230,496,1203742,1130145,1166944,2600,567,46.0,1,39,5641,685603.62,7458159.15,-22.974483205270104,-43.18945763181177
0,1.0,0.01,1550,230,496,1203742,1130145,1166944,2600,904,49.0,1,32,19063,685603.62,7458159.15,-22.974483205270104,-43.18945763181177
0,2.0,0.01,337,280,666,1621830,1144464,1383147,3200,509,57.0,1,69,7101,685424.2638,7456842.012,-22.986395569996986,-43.19104819076686
0,2.0,0.01,337,280,666,1621830,1144464,1383147,3200,930,60.0,1,69,13333,685424.2638,7456842.012,-22.986395569996986,-43.19104819076686
1,3.0,0.01,2996,107,684,1278457,1181581,1230019,2400,825,60.0,1,76,11250,686854.67,7459132.17,-22.9655578618712,-43.17737635355311
1,2.0,0.01,2996,107,684,1278457,1181581,1230019,2400,940,59.0,1,67,11194,686854.67,7459132.17,-22.9655578618712,-43.17737635355311
1,2.0,0.01,3244,251,483,1081057,1051910,1066484,2100,801,59.0,1,63,10635,686965.3201,7459357.22,-22.963513483544432,-43.17632472816868
1,3.0,1.0,647,351,204,1215942,1250567,1233255,2350,864,59.0,1,97,12165,685239.05,7457321.21,-22.982089563873984,-43.1929119671741
0,0.01,0.01,713,125,247,1083455,1286448,1184952,2200,385,56.0,1,34,5000,685464.59,7457311.84,-22.98214902517811,-43.19071144463611
0,0.01,0.01,1256,154,264,1083455,1042743,1063099,2200,567,53.0,1,35,4286,685551.1,7457865.84,-22.977137343198294,-43.18993447979751
0,0.01,0.01,1256,154,264,1083455,1042743,1063099,2200,405,53.0,1,32,4063,685551.1,7457865.84,-22.977137343198294,-43.18993447979751
1,3.0,1.0,601,35,536,1524600,1512358,1518479,4100,792,58.0,1,311,11254,685603.15,7457051.18,-22.984487046151212,-43.18932887553153
0,1.0,0.01,2612,294,505,1124331,1121058,1122695,2100,792,58.0,1,42,10000,686307.92,7459014.05,-22.966685657319783,-43.18269314850808
1,0.01,0.01,3343,179,328,948250,572970,760610,1850,904,59.0,1,40,9750,687133.13,7459357.58,-22.963491373423718,-43.17468858053873
0,0.01,0.01,3343,179,328,948250,572970,760610,1850,918,59.0,1,40,8750,687133.13,7459357.58,-22.963491373423718,-43.17468858053873
0,3.0,0.01,1739,378,421,1207360,1078840,1143100,2500,445,56.0,1,133,4436,685553.66,7458369.42,-22.972590262801514,-43.18997008825177
0,2.0,1.0,1623,292,453,1221509,1406006,1313758,2500,800,58.0,1,70,11143,685578.87,7458242.45,-22.973733855716294,-43.18970899275934
1,1.0,0.01,1623,292,453,1221509,1406006,1313758,2500,801,58.0,1,52,8462,685578.87,7458242.45,-22.973733855716294,-43.18970899275934
0,2.0,1.0,1623,292,453,1221509,1406006,1313758,2500,509,56.0,1,65,6692,685578.87,7458242.45,-22.973733855716294,-43.18970899275934
0,2.0,0.01,1410,277,411,1259839,1278269,1269054,2400,425,54.0,1,58,5172,685493.4801,7458045.81,-22.975518831222182,-43.19051799213336
1,2.0,0.01,1573,244,488,1203742,1313958,1258850,2600,800,58.0,1,57,11404,685601.97,7458183.34,-22.974264979296212,-43.18947663148616
0,2.0,0.01,2934,212,807,1171749,1249401,1210575,2300,554,56.0,1,62,7581,686694.2459999999,7459164.336,-22.965285443231327,-43.178944447096825
1,3.0,0.01,1586,319,414,1221509,1019391,1120450,2500,445,56.0,1,213,4695,685534.21,7458216.72,-22.973971151992718,-43.19014138156609
0,2.0,0.01,3075,52,581,1007098,957595,982347,2600,573,56.0,1,93,5699,686977.86,7459139.48,-22.965478024218157,-43.176176084819346
1,3.0,1.0,1343,449,310,1476163,1567187,1521675,2400,595,56.0,1,200,3400,685293.89,7458017.02,-22.97580102013357,-43.192460780037344
0,0.01,0.01,777,360,74,1159555,1242156,1200856,990,930,58.0,1,30,12667,685236.27,7457453.34,-22.98089687840541,-43.19295494851443
0,0.01,0.01,777,360,74,1159555,1242156,1200856,990,484,55.0,1,30,5000,685236.27,7457453.34,-22.98089687840541,-43.19295494851443
1,3.0,1.0,339,298,568,1404545,1636660,1520603,2600,525,56.0,1,172,5000,685366.42,7456924.57,-22.98565660936039,-43.191622209671905
1,4.0,1.0,2232,453,428,1156319,1020660,1088490,2600,445,55.0,1,303,3960,685806.9201,7458809.64,-22.968587278145154,-43.187553562056905
0,2.0,0.01,669,215,244,1308645,1068617,1188631,2100,904,56.0,1,61,10492,685374.48,7457305.16,-22.982219386351773,-43.191589366324244
0,2.0,0.01,669,215,244,1308645,1068617,1188631,2100,864,56.0,1,66,9848,685374.48,7457305.16,-22.982219386351773,-43.191589366324244
0,2.0,0.01,669,215,244,1308645,1068617,1188631,2100,573,53.0,1,61,7705,685374.48,7457305.16,-22.982219386351773,-43.191589366324244
1,1.0,0.01,2696,154,712,1083455,649733,866594,2000,405,55.0,1,39,5641,686522.98,7458989.87,-22.966879884600736,-43.18059327781515
1,5.0,0.01,2696,154,712,1083455,649733,866594,2000,425,55.0,1,38,6316,686522.98,7458989.87,-22.966879884600736,-43.18059327781515
0,3.0,0.01,1799,315,522,1406617,1629909,1518263,2500,484,54.0,1,125,3440,685650.95,7458405.27,-22.97225572113565,-43.189025727862294
0,3.0,1.0,1799,315,522,1406617,1629909,1518263,2500,792,56.0,1,125,9200,685650.95,7458405.27,-22.97225572113565,-43.189025727862294
1,3.0,0.01,2270,709,286,1395924,1637465,1516695,1550,940,58.0,1,139,7914,685554.38,7458913.11,-22.967681233734755,-43.190028446880476
1,3.0,1.0,617,423,212,1215942,1255752,1235847,2350,825,57.0,1,202,10792,685166.51,7457300.12,-22.982288063650074,-43.19361682272931
1,4.0,1.0,480,282,420,1570125,1616109,1593117,2500,904,56.0,1,281,10872,685329.6134,7457118.83,-22.98390675048725,-43.19200449640235
1,3.0,1.0,681,218,229,1308645,1068617,1188631,2100,509,53.0,1,145,4138,685371.33,7457319.13,-22.982093603182573,-43.191621763548206
1,4.0,1.0,2070,34,770,1524600,1231443,1378022,4100,800,55.0,1,500,10486,686101.29,7458510.88,-22.97125186139057,-43.184647221526184
1,2.0,0.01,1580,108,597,1203742,842496,1023119,2600,425,53.0,1,67,6716,685734.54,7458142.84,-22.974615854503107,-43.18817905074
1,3.0,0.01,2369,354,401,1246831,1253007,1249919,2350,920,56.0,1,115,6957,686023.18,7458876.41,-22.967960253590327,-43.18545292741696
0,0.01,0.01,2737,1111,62,815986,550646,683316,1600,864,53.0,1,37,10324,685472.71,7459398.84,-22.963304703124514,-43.19088315101879
1,1.0,0.01,2737,1111,62,815986,550646,683316,1600,825,53.0,1,41,7561,685472.71,7459398.84,-22.963304703124514,-43.19088315101879
0,1.0,0.01,2737,1111,62,815986,550646,683316,1600,509,50.0,1,47,3936,685472.71,7459398.84,-22.963304703124514,-43.19088315101879
1,2.0,0.01,2656,1075,139,1783469,1410410,1596940,2300,930,55.0,1,81,9506,685440.93,7459321.6,-22.964005641256126,-43.19118373755726
