Posicao;Quartos;Vagas;DistIpanema;DistPraia;DistFavela;RendaMedia;RendaMovel;RendaMovelRua;Vu2009;Mes;Idade;Tipologia;AreaConstruida;VAL_UNIT;X;Y
0;2;0.01;1894;115;776;1447740;1299323;1373532;2700;792;54;1;60;13167;685905.5601;7458411.1
0;2;1;1894;115;776;1447740;1299323;1373532;2700;385;52;1;60;4333;685905.5601;7458411.1
1;3;0.01;2631;32;806;1524600;1707651;1616126;4100;425;70;1;201;6965;686577.2;7458879.63
1;4;1;2263;50;698;986211;981554;983883;2500;573;70;1;335;5672;686236.88;7458655.71
1;4;0.01;2631;32;806;1524600;1707651;1616126;4100;864;73;1;197;13706;686577.2;7458879.63
1;4;1;1496;323;396;1221509;914508;1068009;2500;445;52;1;238;3571;685485.37;7458136.01
1;4;1;579;141;403;1570125;1699355;1634740;2500;385;52;1;184;3832;685466.01;7457153.44
1;3;1;579;141;403;1570125;1699355;1634740;2500;425;52;1;184;5000;685466.01;7457153.44
0;1;0.01;1478;321;398;1221509;1071788;1146649;2500;445;52;1;50;7600;685479.55;7458119.17
0;1;0.01;2468;756;196;1165764;1094789;1130277;2150;567;50;1;48;5625;685664.06;7459093.1
0;1;0.01;2468;756;196;1165764;1094789;1130277;2150;864;53;1;45;11111;685664.06;7459093.1
0;1;0.01;2468;756;196;1165764;1094789;1130277;2150;801;52;1;46;13696;685664.06;7459093.1
1;3;1;727;501;105;1159555;1302966;1231261;1150;360;52;1;183;2404;685090.46;7457410.04
1;3;0.01;2323;113;631;778110;778110;778110;2500;920;56;1;85;10588;686227.0801;7458729.5
0;3;1;2429;743;237;1803724;1605382;1704553;2350;862;58;1;87;10920;685644.2801;7459056.79
1;3;0.01;649;79;369;1083455;1176135;1129795;2200;405;54;1;75;5467;685521.27;7457199.47
1;4;1;2390;78;669;1194735;1015488;1105112;2800;842;53;1;328;6555;686317.41;7458756.38
1;4;1;2390;78;669;1194735;1015488;1105112;2800;567;50;1;328;6707;686317.41;7458756.38
1;4;1;2390;78;669;1194735;1015488;1105112;2800;930;53;1;328;8049;686317.41;7458756.38
1;4;1;2390;78;669;1194735;1015488;1105112;2800;405;50;1;328;3963;686317.41;7458756.38
1;4;0.01;449;337;386;1570125;1458348;1514237;2500;405;50;1;280;5000;685276.0717;7457107.035
1;3;1;691;265;194;1215942;1453970;1334956;2350;842;55;1;152;9211;685324.37;7457346.07
1;1;0.01;2411;885;166;1395924;1467108;1431516;1550;862;54;1;33;10606;685460.08;7459071.55
1;3;1;1979;280;693;574140;574140;574140;2200;509;50;1;157;5223;685802.47;7458544.6
1;3;1;1979;280;693;574140;574140;574140;2200;385;50;1;157;4076;685802.47;7458544.6
0;1;0.01;2738;163;730;1083455;653946;868701;2000;800;51;1;29;12931;686553.63;7459020.79
0;0.01;0.01;2738;163;730;1083455;653946;868701;2000;864;52;1;29;10345;686553.63;7459020.79
1;2;0.01;2738;163;730;1083455;653946;868701;2000;862;52;1;61;11066;686553.63;7459020.79
0;2;0.01;2738;163;730;1083455;653946;868701;2000;792;51;1;61;9344;686553.63;7459020.79
1;1;0.01;1262;271;265;1221509;1315298;1268404;2500;842;53;1;50;11800;685440.3601;7457906.4
1;3;0.01;3218;326;568;1007098;1052378;1029738;2300;918;53;1;152;6053;686867.23;7459390.77
1;3;0.01;871;188;48;1159555;1014084;1086820;1500;864;51;1;86;7558;685415.87;7457505.87
1;3;0.01;871;188;48;1159555;1014084;1086820;1500;918;51;1;103;8252;685415.87;7457505.87
0;2;0.01;2522;917;214;1803724;2016761;1910243;2350;792;52;1;81;11173;685516.8412;7459175.943
1;3;1;553;446;215;1532655;1509540;1521098;1750;554;49;1;284;4930;685147.6;7457236.13
0;1;0.01;3289;271;447;1031529;980988;1006259;2200;800;50;1;35;8571;686991.61;7459393.06
0;1;0.01;3289;271;447;1031529;980988;1006259;2200;918;51;1;35;14000;686991.61;7459393.06
0;1;0.01;3289;271;447;1031529;980988;1006259;2200;792;50;1;35;11429;686991.61;7459393.06
1;1;0.01;3289;271;447;1031529;980988;1006259;2200;862;51;1;40;15250;686991.61;7459393.06
0;1;0.01;3289;271;447;1031529;980988;1006259;2200;573;48;1;35;7943;686991.61;7459393.06
0;0.01;0.01;3289;271;447;1031529;980988;1006259;2200;930;51;1;31;14516;686991.61;7459393.06
0;1;0.01;3289;271;447;1031529;980988;1006259;2200;509;48;1;31;4355;686991.61;7459393.06
1;3;0.01;2686;48;821;1774855;1808457;1791656;2500;405;69;1;95;3525;686613.3324;7458921.554
1;3;0.01;2686;48;821;1774855;1808457;1791656;2500;525;69;1;85;9412;686613.3324;7458921.554
1;3;1;1717;560;226;1496791;1247006;1371899;2500;918;56;1;119;10084;685353.4801;7458386.22
1;2;0.01;1717;560;226;1496791;1247006;1371899;2500;918;56;1;85;9765;685353.4801;7458386.22
1;3;1;1717;560;226;1496791;1247006;1371899;2500;573;53;1;125;6240;685353.4801;7458386.22
0;3;0.01;1717;560;226;1496791;1247006;1371899;2500;425;53;1;107;3738;685353.4801;7458386.22
0;4;1;1717;560;226;1496791;1247006;1371899;2500;405;53;1;113;4248;685353.4801;7458386.22
0;3;1;1717;560;226;1496791;1247006;1371899;2500;830;56;1;111;9640;685353.4801;7458386.22
0;2;0.01;2040;91;746;1447740;1970466;1709103;2700;385;53;1;85;3882;686026.7705;7458514.453
1;4;1;499;253;415;1570125;1466775;1518450;2500;842;55;1;179;11173;685356.96;7457126.7
0;3;0.01;1414;523;237;1259839;1385913;1322876;2400;918;56;1;89;10674;685245.42;7458092.96
0;3;0.01;1414;523;237;1259839;1385913;1322876;2400;405;51;1;89;5169;685245.42;7458092.96
0;3;0.01;1414;523;237;1259839;1385913;1322876;2400;862;54;1;89;11798;685245.42;7458092.96
0;1;0.01;2410;426;329;1502287;1201913;1352100;2350;862;56;1;37;12162;685982.6001;7458936.8
0;0.01;0.01;2410;426;329;1502287;1201913;1352100;2350;800;55;1;37;9459;685982.6001;7458936.8
1;2;0.01;1821;307;546;1406617;1629909;1518263;2500;554;52;1;71;5775;685672.94;7458421.53
0;2;0.01;1821;307;546;1406617;1629909;1518263;2500;792;54;1;62;8871;685672.94;7458421.53
0;1;0.01;1027;259;30;969501;1090780;1030141;2400;525;72;1;57;5263;685381.39;7457678.81
0;1;0.01;1027;259;30;969501;1090780;1030141;2400;567;72;1;62;6774;685381.39;7457678.81
1;4;1;2330;537;322;1472861;1637545;1555203;2300;445;52;1;258;4651;685795.3;7458915.92
1;2;0.01;1551;265;461;1203742;1422987;1313365;2600;864;55;1;52;12500;685570.63;7458170.69
0;1;0.01;1551;265;461;1203742;1422987;1313365;2600;567;52;1;51;7745;685570.63;7458170.69
1;1;0.01;2192;547;445;1395924;1229643;1312784;2300;405;55;1;47;4681;685676.23;7458805.95
0;1;0.01;2554;647;114;986211;1128088;1057150;2100;484;54;1;45;5778;685869.61;7459128.06
1;3;1;2046;398;587;1124331;1403313;1263822;2200;825;56;1;126;7857;685728.01;7458639.8
1;1;0.01;1834;213;643;1083455;1033606;1058531;2000;554;50;1;40;6500;685773.54;7458400.15
1;1;0.01;1834;213;643;1083455;1033606;1058531;2000;405;50;1;39;6154;685773.54;7458400.15
0;0.01;0.01;2458;224;525;1194735;1053245;1123990;2500;930;52;1;22;14909;686236.0401;7458877.48
1;1;0.01;3059;344;756;1124331;1376035;1250183;1950;360;51;1;35;2571;686691.22;7459313.19
1;1;0.01;3059;344;756;1124331;1376035;1250183;1950;425;51;1;24;5000;686691.22;7459313.19
1;0.01;0.01;3059;344;756;1124331;1376035;1250183;1950;509;51;1;24;4167;686691.22;7459313.19
0;1;0.01;3059;344;756;1124331;1376035;1250183;1950;425;51;1;28;4464;686691.22;7459313.19
0;1;0.01;3059;344;756;1124331;1376035;1250183;1950;920;54;1;39;9282;686691.22;7459313.19
0;0.01;0.01;3059;344;756;1124331;1376035;1250183;1950;425;51;1;24;4167;686691.22;7459313.19
1;0.01;0.01;3059;344;756;1124331;1376035;1250183;1950;567;51;1;24;5500;686691.22;7459313.19
0;1;0.01;3059;344;756;1124331;1376035;1250183;1950;864;54;1;24;15208;686691.22;7459313.19
0;0.01;0.01;3059;344;756;1124331;1376035;1250183;1950;864;54;1;24;12083;686691.22;7459313.19
